Wavelength (nm),Raw count,Irradiance (W/m^2/nm),,W/m^2,Total Power
283.41,17.339,0.0030280427536231885,3.0280427536231883e-05,6.700468693839584e-06,0.0004914153518133856
283.664,12.939,0.0022479168478260867,2.2479168478260866e-05,7.3066076222824766e-06,0.0004914153518133856
283.919,19.738,0.0034827557971014492,3.482755797101449e-05,1.0410032630435565e-05,0.0004914153518133856
284.173,26.338,0.004714120289855073,4.7141202898550725e-05,1.2544957387682101e-05,0.0004914153518133856
284.427,29.538,0.005163798913043478,5.163798913043478e-05,1.4299838722825829e-05,0.0004914153518133856
284.682,35.538,0.0060517608695652165,6.051760869565216e-05,1.7134630173910496e-05,0.0004914153518133856
284.936,41.737,0.007440073913043479,7.440073913043479e-05,1.8071774470108372e-05,0.0004914153518133856
285.191,37.737,0.006733866847826088,6.733866847826088e-05,1.5097487364131572e-05,0.0004914153518133856
285.445,28.737,0.00515391847826087,5.15391847826087e-05,1.2159821375000912e-05,0.0004914153518133856
285.699,24.137,0.0044207440217391295,4.420744021739129e-05,1.0089245692934601e-05,0.0004914153518133856
285.954,19.336,0.003492389855072463,3.4923898550724635e-05,7.474853724638242e-06,0.0004914153518133856
286.208,13.536,0.0023933217391304347,2.3933217391304346e-05,4.150172260868948e-06,0.0004914153518133856
286.462,4.936,0.0008745304347826087,8.745304347826086e-06,2.3559212092390877e-06,0.0004914153518133856
286.717,5.335,0.0009732509057971013,9.732509057971013e-06,1.6272208605073684e-06,0.0004914153518133856
286.971,1.735,0.0003080253623188406,3.0802536231884055e-06,1.2788704438406757e-06,0.0004914153518133856
287.225,3.735,0.0006989592391304347,6.989592391304347e-06,2.003447690217355e-06,0.0004914153518133856
287.48,4.735,0.0008723722826086957,8.723722826086957e-06,3.741630516303792e-06,0.0004914153518133856
287.734,11.334,0.0020737934782608697,2.0737934782608695e-05,7.159412873188943e-06,0.0004914153518133856
287.988,19.534,0.0035635394927536227,3.5635394927536224e-05,1.05828589402172e-05,0.0004914153518133856
288.243,25.534,0.004736742028985507,4.7367420289855065e-05,1.0132488394928297e-05,0.0004914153518133856
288.497,17.734,0.003241595289855072,3.241595289855072e-05,7.3875310869563895e-06,0.0004914153518133856
288.752,13.733,0.002552546739130435,2.5525467391304347e-05,8.472615190216133e-06,0.0004914153518133856
289.006,22.533,0.004118803804347826,4.118803804347826e-05,1.0894266375000819e-05,0.0004914153518133856
289.26,24.133,0.004459358695652174,4.459358695652174e-05,1.1240814836956322e-05,0.0004914153518133856
289.515,22.732,0.004356966666666667,4.356966666666667e-05,1.3731987275363351e-05,0.0004914153518133856
289.769,34.732,0.006455621739130436,6.455621739130435e-05,1.7534953500001315e-05,0.0004914153518133856
290.023,39.132,0.007351428260869564,7.351428260869563e-05,1.738931478260838e-05,0.0004914153518133856
290.278,33.532,0.0062872499999999994,6.287249999999998e-05,1.5159751874997744e-05,0.0004914153518133856
290.532,30.131,0.005649562499999999,5.649562499999999e-05,1.5157276295290994e-05,0.0004914153518133856
290.786,32.731,0.006285300724637682,6.285300724637681e-05,1.5157278301630165e-05,0.0004914153518133856
291.041,28.931,0.005602760688405797,5.602760688405797e-05,1.3567107454711166e-05,0.0004914153518133856
291.295,27.331,0.005080001086956522,5.080001086956522e-05,1.2089053155795304e-05,0.0004914153518133856
291.549,22.73,0.0044389384057971016,4.438938405797101e-05,1.0387880027173728e-05,0.0004914153518133856
291.804,19.33,0.0037084184782608695,3.7084184782608695e-05,8.361256666667295e-06,0.0004914153518133856
292.058,15.13,0.0028752481884057974,2.875248188405797e-05,7.716669334238993e-06,0.0004914153518133856
292.313,16.529,0.003177041485507246,3.1770414855072464e-05,8.44011377355136e-06,0.0004914153518133856
292.567,17.729,0.003468717391304348,3.468717391304348e-05,9.87839015398625e-06,0.0004914153518133856
292.821,22.129,0.004309542572463769,4.3095425724637685e-05,1.1976504850543267e-05,0.0004914153518133856
293.076,26.129,0.005083794565217392,5.083794565217392e-05,1.3277357184780636e-05,0.0004914153518133856
293.33,28.128,0.005370817391304348,5.370817391304347e-05,1.3350759043479266e-05,0.0004914153518133856
293.584,26.328,0.0051415913043478265,5.141591304347826e-05,1.2396403695651954e-05,0.0004914153518133856
293.839,23.328,0.004581078260869565,4.581078260869565e-05,9.830719139493493e-06,0.0004914153518133856
294.093,15.727,0.0031596454710144926,3.1596454710144924e-05,7.569401543477135e-06,0.0004914153518133856
294.347,14.327,0.002800513224637681,2.800513224637681e-05,8.455322798912892e-06,0.0004914153518133856
294.602,19.527,0.0038311125,3.8311125e-05,9.464807061594913e-06,0.0004914153518133856
294.856,18.527,0.003621491485507246,3.621491485507246e-05,9.950855529891127e-06,0.0004914153518133856
295.111,21.126,0.004183101086956522,4.183101086956522e-05,1.2489406391305287e-05,0.0004914153518133856
295.365,29.126,0.005651077173913044,5.651077173913043e-05,1.4109446920290914e-05,0.0004914153518133856
295.619,27.926,0.005458723550724637,5.458723550724637e-05,1.248516494565195e-05,0.0004914153518133856
295.874,21.926,0.0043335626811594205,4.3335626811594203e-05,1.055055168840423e-05,0.0004914153518133856
296.128,20.125,0.003973958333333334,3.973958333333334e-05,9.17204008152243e-06,0.0004914153518133856
296.382,16.525,0.0032481204710144923,3.248120471014492e-05,7.818388926630295e-06,0.0004914153518133856
296.637,14.525,0.002883949275362319,2.883949275362319e-05,7.28488013043533e-06,0.0004914153518133856
296.891,14.524,0.002852176811594203,2.852176811594203e-05,8.874378079708825e-06,0.0004914153518133856
297.145,20.924,0.004135522463768116,4.135522463768116e-05,1.2665776086956297e-05,0.0004914153518133856
297.4,29.124,0.005798419565217391,5.798419565217391e-05,1.6146303289856284e-05,0.0004914153518133856
297.654,34.924,0.006915205072463767,6.915205072463767e-05,1.9827128644929028e-05,0.0004914153518133856
297.908,44.123,0.008696707246376813,8.696707246376812e-05,2.360687769021697e-05,0.0004914153518133856
298.163,49.723,0.009818490942028985,9.818490942028984e-05,2.2710063846011114e-05,0.0004914153518133856
298.417,40.723,0.008063449094202898,8.063449094202896e-05,1.9104356317938698e-05,0.0004914153518133856
298.672,34.322,0.006920359782608696,6.920359782608696e-05,1.7390641467388723e-05,0.0004914153518133856
298.926,33.322,0.006773058695652176,6.773058695652176e-05,1.4716499097827195e-05,0.0004914153518133856
299.18,23.922,0.004814735869565217,4.8147358695652165e-05,1.130243244565197e-05,0.0004914153518133856
